1,1,0.40000,14
1,2,0.30000,14
1,3,0.20000,12
1,4,0.50000,11
1,5,0.40000,14
1,6,0.80000,20
1,7,0.40000,14
1,8,0.20000,12
1,9,0.40000,15
1,10,0.20000,12
1,11,0.40000,14
1,12,0.40000,16
1,13,0.50000,15
1,14,0.30000,14
1,15,0.20000,12
1,16,0.60000,19
1,17,2.41250,23
1,18,0.30000,14
1,19,0.40000,14
1,20,0.50000,15
2,1,0.50000,10
2,2,0.40000,15
2,3,0.50000,15
2,4,0.50000,15
2,5,0.70000,19
2,6,0.50000,15
2,7,0.40000,12
2,8,0.30000,15
2,9,0.40000,15
2,10,0.40000,14
2,11,0.60000,16
2,12,0.40000,15
2,13,0.50000,17
2,14,0.50000,15
2,15,0.50000,15
2,16,0.50000,8
2,17,0.40000,15
2,18,0.50000,17
2,19,2.65000,0
2,20,0.40000,16
3,1,0.50000,42
3,2,0.70000,27
3,3,0.50000,18
3,4,0.50000,18
3,5,0.50000,22
3,6,0.50000,23
3,7,0.40000,20
3,8,0.50000,25
3,9,0.60000,39
3,10,0.40000,18
3,11,0.50000,36
3,12,2.62667,22
3,13,0.50000,11
3,14,0.30000,13
3,15,0.40000,19
3,16,0.50000,28
3,17,0.50000,19
3,18,0.40000,17
3,19,0.60000,27
3,20,0.50000,17
4,1,2.28750,25
4,2,2.28750,25
4,3,2.28750,25
4,4,0.40000,31
4,5,0.20000,35
4,6,0.20000,35
4,7,2.26250,11
4,8,0.20000,35
4,9,0.30000,28
4,10,2.26250,31
4,11,2.28750,27
4,12,0.20000,35
4,13,2.28750,30
4,14,0.20000,35
4,15,0.20000,35
4,16,2.28750,10
4,17,0.50000,34
4,18,2.28750,30
4,19,2.28750,10
4,20,2.26250,31
5,1,2.40000,0
5,2,2.40000,0
5,3,2.40000,0
5,4,2.40000,0
5,5,2.40000,0
5,6,2.40000,0
5,7,2.40000,0
5,8,2.40000,0
5,9,2.40000,0
5,10,2.40000,0
5,11,2.40000,0
5,12,2.40000,0
5,13,2.40000,0
5,14,2.40000,0
5,15,2.40000,0
5,16,2.40000,0
5,17,2.40000,0
5,18,2.40000,0
5,19,2.40000,0
5,20,0.20000,36
6,1,0.30000,23
6,2,0.20000,30
6,3,0.50000,35
6,4,2.36667,34
6,5,0.30000,28
6,6,0.50000,22
6,7,0.40000,16
6,8,0.50000,23
6,9,0.30000,10
6,10,0.30000,23
6,11,0.50000,26
6,12,0.30000,22
6,13,0.60000,36
6,14,0.40000,24
6,15,0.50000,25
6,16,0.20000,24
6,17,0.30000,30
6,18,0.40000,30
6,19,2.36667,34
6,20,0.30000,23
7,1,1.60000,42
7,2,1.40000,33
7,3,3.45000,47
7,4,1.40000,52
7,5,1.50000,43
7,6,1.50000,34
7,7,1.60000,41
7,8,3.51250,37
7,9,1.50000,37
7,10,1.50000,40
7,11,1.50000,46
7,12,1.50000,43
7,13,1.40000,20
7,14,1.50000,36
7,15,1.50000,34
7,16,1.40000,44
7,17,1.50000,39
7,18,1.50000,42
7,19,1.60000,35
7,20,1.50000,33
8,1,1.50000,69
8,2,1.70000,82
8,3,1.50000,64
8,4,1.50000,34
8,5,1.50000,33
8,6,1.50000,30
8,7,1.50000,66
8,8,1.50000,46
8,9,1.50000,58
8,10,1.50000,37
8,11,1.60000,54
8,12,1.50000,50
8,13,1.60000,53
8,14,1.50000,68
8,15,1.50000,49
8,16,1.50000,75
8,17,1.40000,51
8,18,1.70000,65
8,19,1.50000,43
8,20,1.60000,40
9,1,1.60000,73
9,2,1.70000,93
9,3,1.50000,70
9,4,1.40000,66
9,5,1.40000,74
9,6,1.50000,79
9,7,1.50000,79
9,8,1.40000,31
9,9,1.40000,57
9,10,1.50000,73
9,11,1.60000,45
9,12,1.30000,35
9,13,1.60000,71
9,14,1.60000,80
9,15,1.50000,80
9,16,1.60000,88
9,17,1.60000,78
9,18,1.60000,62
9,19,1.50000,59
9,20,1.40000,63
10,1,1.60000,32
10,2,1.50000,37
10,3,1.50000,31
10,4,1.50000,52
10,5,1.50000,32
10,6,3.40000,38
10,7,3.28125,57
